id,type,latitude_deg,longitude_deg,elevation_ft,municipality,gps_code,iata_code
43296,small_airport,38.73080063,-4.313059807,2263,Almodóvar del Campo,LESE,
321112,small_airport,37.25689,-6.562895,213,Almonte,,
321514,small_airport,40.2116282,-4.386763,1575,Almorox,,
320413,small_airport,37.10165,-4.5625667,1903,Antequera,,
324536,small_airport,28.391185,-13.982968,515,Antigua,,
321571,small_airport,41.11453,-3.73378,,Arcones,,
321032,small_airport,43.17817,-4.674958,2523,Argüébanes,,
321564,small_airport,43.5531667,-7.0168,69,Arnao,,
321661,small_airport,42.50323,-6.026578,,Astorga,LEAT,
43255,small_airport,38.77750778,-6.991124153,708,Badajoz,LEEM,
43287,small_airport,39.03689957,-6.690559864,703,Badajoz,LETE,
309925,small_airport,42.23282,-7.6448,1946,Baños de Molgas,,
321719,small_airport,38.671077,-0.631257,3117,Banyeres de Mariola,,
321165,small_airport,41.994251,0.092153,,Barbastro,,
43236,heliport,41.36429977,2.183010101,29,Barcelona,LEPB,
43248,heliport,41.34529877,2.10729003,35,Barcelona,LEHB,
43257,heliport,41.58349991,2.560790062,200,Barcelona,LEPY,
43260,heliport,41.35390091,2.129169941,34,Barcelona,LEFR,
43271,heliport,41.41350174,2.171960115,265,Barcelona,LESP,
43274,heliport,41.38249969,2.10916996,287,Barcelona,LEJC,
43293,heliport,41.38330078,2.108330011,300,Barcelona,LERA,
320515,small_airport,42.460951,-8.339674,2589,Beariz,,
321166,small_airport,41.2443358,1.5632892,302,Bellvei,,
321510,small_airport,39.8513634,-5.6015255,1017,Belvis de Monroy,,
320707,small_airport,39.735148,-1.139396,2871,Benagéber,,
321704,small_airport,38.696193,-0.744936,1985,Beneixama,,
321706,small_airport,38.684431,-0.760295,1936,Beneixama,,
321479,small_airport,38.9185899,-0.3539091,807,Benicolet,,
329148,heliport,38.5632993,-0.1511484,,Benidorm,,
43238,heliport,42.10559845,1.853330016,2300,Berga,LERG,
321425,small_airport,42.077377,1.840227,2074,Berga,,
315661,heliport,39.62447,-0.472576,414,Bétera,LEBT,
321082,small_airport,40.5405752,-2.0768447,4265,Beteta,,
320246,small_airport,41.853613,0.254904,1312,Binéfar,LEBF,
321478,small_airport,40.396556,-4.023712,1975,Brunete,,
309930,small_airport,42.5787,-8.6968,45,Caldas de Reis,,
321608,small_airport,41.07545,-5.7280355,2625,Calzada de Valdunciel,,
321718,small_airport,40.024702,-4.0712017,1742,Camarenilla,,
320752,small_airport,39.94135,-1.530533,3937,Campillos,,
43233,small_airport,37.74890137,-1.302160025,669,Cánovas,LELH,
320565,small_airport,37.294754,-3.712869,2444,Caparacena, Granada,,
320137,small_airport,39.1329131,-1.2636747,,Carcelen,,
320411,small_airport,36.722785,-4.700446,,Cártama,,
321689,small_airport,41.2287652,-0.085876,656,Caspe,,
321603,small_airport,42.516675,0.483282,2959,Castejón de Sos,,
43239,heliport,39.957901,-0.011632,943,Castellón de La Plana,LEBP,
321703,small_airport,41.687597,1.250494,,Cervera,,
320775,small_airport,42.887425,-4.530838,3609,Cervera de Pisuerga,,
321463,small_airport,42.851348,-4.279289,3215,Cillamayor,,
324795,small_airport,43.388518,-4.207752,164,Cóbreces,,
326765,heliport,40.697296,-3.763255,3264,Colmenar Viejo,LECV,
